STT,So_2D
1,01
2,02
3,03
4,04
5,05
6,08
7,09
8,11
9,12
10,13
11,15
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,26
21,28
22,29
23,31
24,32
25,33
26,34
27,35
28,37
29,38
30,42
31,44
32,45
33,51
34,53
35,55
36,58
37,59
38,60
39,61
40,62
41,63
42,65
43,67
44,68
45,69
46,72
47,80
48,81
49,82
50,83
51,84
52,85
53,87
54,88
55,91
56,92
57,95
58,97
59,98
60,99
